Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item_normalized
1,Albania,Potatoes,1990,66667,1485.0,121.0,16.37,potatoes
4,Albania,Soybeans,1990,7000,1485.0,121.0,16.37,soybeans
7,Albania,Potatoes,1991,77818,1485.0,121.0,15.36,potatoes
10,Albania,Soybeans,1991,6066,1485.0,121.0,15.36,soybeans
13,Albania,Potatoes,1992,82920,1485.0,121.0,16.06,potatoes
16,Albania,Soybeans,1992,4507,1485.0,121.0,16.06,soybeans
19,Albania,Potatoes,1993,98446,1485.0,121.0,16.05,potatoes
21,Albania,Soybeans,1993,7998,1485.0,121.0,16.05,soybeans
24,Albania,Potatoes,1994,81404,1485.0,201.0,16.96,potatoes
25,Albania,Soybeans,1994,7927,1485.0,201.0,16.96,soybeans
28,Albania,Potatoes,1995,111323,1485.0,251.0,15.67,potatoes
29,Albania,Soybeans,1995,11791,1485.0,251.0,15.67,soybeans
32,Albania,Potatoes,1996,106138,1485.0,313.96,15.64,potatoes
33,Albania,Soybeans,1996,15480,1485.0,313.96,15.64,soybeans
36,Albania,Potatoes,1997,109874,1485.0,376.93,15.9,potatoes
37,Albania,Soybeans,1997,12768,1485.0,376.93,15.9,soybeans
40,Albania,Potatoes,1998,127212,1485.0,439.89,16.27,potatoes
41,Albania,Soybeans,1998,14327,1485.0,439.89,16.27,soybeans
44,Albania,Potatoes,1999,142018,1485.0,502.86,16.57,potatoes
45,Albania,Soybeans,1999,17143,1485.0,502.86,16.57,soybeans
48,Albania,Potatoes,2000,141228,1485.0,565.82,16.67,potatoes
49,Albania,Soybeans,2000,15000,1485.0,565.82,16.67,soybeans
52,Albania,Potatoes,2001,148818,1485.0,628.79,16.59,potatoes
53,Albania,Soybeans,2001,20000,1485.0,628.79,16.59,soybeans
56,Albania,Potatoes,2002,153868,1485.0,691.75,16.47,potatoes
57,Albania,Soybeans,2002,20000,1485.0,691.75,16.47,soybeans
60,Albania,Potatoes,2004,149346,1485.0,817.68,16.16,potatoes
61,Albania,Soybeans,2004,13333,1485.0,817.68,16.16,soybeans
64,Albania,Potatoes,2005,167061,1485.0,880.64,15.67,potatoes
65,Albania,Soybeans,2005,17500,1485.0,880.64,15.67,soybeans
68,Albania,Potatoes,2006,170745,1485.0,943.61,15.92,potatoes
69,Albania,Soybeans,2006,20000,1485.0,943.61,15.92,soybeans
72,Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,potatoes
73,Albania,Soybeans,2007,20000,1485.0,1006.57,16.67,soybeans
76,Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,potatoes
77,Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,soybeans
80,Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,potatoes
81,Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,soybeans
84,Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,potatoes
85,Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,soybeans
88,Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,potatoes
89,Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,soybeans
92,Albania,Potatoes,2012,250538,1485.0,766.25,16.7,potatoes
93,Albania,Soybeans,2012,13333,1485.0,766.25,16.7,soybeans
96,Albania,Potatoes,2013,260110,1485.0,982.32,17.41,potatoes
97,Albania,Soybeans,2013,10000,1485.0,982.32,17.41,soybeans
100,Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,potatoes
105,Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,potatoes
110,Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,potatoes
