Area,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item_normalized
Albania,1990,66667,1485.0,121.0,16.37,potatoes
Albania,1990,7000,1485.0,121.0,16.37,soybeans
Albania,1991,77818,1485.0,121.0,15.36,potatoes
Albania,1991,6066,1485.0,121.0,15.36,soybeans
Albania,1992,82920,1485.0,121.0,16.06,potatoes
Albania,1992,4507,1485.0,121.0,16.06,soybeans
Albania,1993,98446,1485.0,121.0,16.05,potatoes
Albania,1993,7998,1485.0,121.0,16.05,soybeans
Albania,1994,81404,1485.0,201.0,16.96,potatoes
Albania,1994,7927,1485.0,201.0,16.96,soybeans
Albania,1995,111323,1485.0,251.0,15.67,potatoes
Albania,1995,11791,1485.0,251.0,15.67,soybeans
Albania,1996,106138,1485.0,313.96,15.64,potatoes
Albania,1996,15480,1485.0,313.96,15.64,soybeans
Albania,1997,109874,1485.0,376.93,15.9,potatoes
Albania,1997,12768,1485.0,376.93,15.9,soybeans
Albania,1998,127212,1485.0,439.89,16.27,potatoes
Albania,1998,14327,1485.0,439.89,16.27,soybeans
Albania,1999,142018,1485.0,502.86,16.57,potatoes
Albania,1999,17143,1485.0,502.86,16.57,soybeans
Albania,2000,141228,1485.0,565.82,16.67,potatoes
Albania,2000,15000,1485.0,565.82,16.67,soybeans
Albania,2001,148818,1485.0,628.79,16.59,potatoes
Albania,2001,20000,1485.0,628.79,16.59,soybeans
Albania,2002,153868,1485.0,691.75,16.47,potatoes
Albania,2002,20000,1485.0,691.75,16.47,soybeans
Albania,2004,149346,1485.0,817.68,16.16,potatoes
Albania,2004,13333,1485.0,817.68,16.16,soybeans
Albania,2005,167061,1485.0,880.64,15.67,potatoes
Albania,2005,17500,1485.0,880.64,15.67,soybeans
Albania,2006,170745,1485.0,943.61,15.92,potatoes
Albania,2006,20000,1485.0,943.61,15.92,soybeans
Albania,2007,188902,1485.0,1006.57,16.67,potatoes
Albania,2007,20000,1485.0,1006.57,16.67,soybeans
Albania,2008,193878,1485.0,1069.54,16.71,potatoes
Albania,2008,20000,1485.0,1069.54,16.71,soybeans
Albania,2009,219780,1485.0,1132.5,16.73,potatoes
Albania,2009,16667,1485.0,1132.5,16.73,soybeans
Albania,2010,231111,1485.0,1311.17,16.52,potatoes
Albania,2010,16667,1485.0,1311.17,16.52,soybeans
Albania,2011,242211,1485.0,1302.63,16.45,potatoes
Albania,2011,18519,1485.0,1302.63,16.45,soybeans
Albania,2012,250538,1485.0,766.25,16.7,potatoes
Albania,2012,13333,1485.0,766.25,16.7,soybeans
Albania,2013,260110,1485.0,982.32,17.41,potatoes
Albania,2013,10000,1485.0,982.32,17.41,soybeans
Algeria,1990,78936,89.0,1828.92,17.48,potatoes
Algeria,1991,90747,89.0,2461.8,16.26,potatoes
Algeria,1992,107917,89.0,1215.47,16.27,potatoes
Algeria,1993,111215,89.0,1021.89,17.0,potatoes
Algeria,1994,95078,89.0,1255.02,17.88,potatoes
Algeria,1995,136768,89.0,2697.09,17.36,potatoes
Algeria,1996,134629,89.0,479.77,16.76,potatoes
Algeria,1997,141042,89.0,401.22,17.84,potatoes
Algeria,1998,160256,89.0,322.84,17.14,potatoes
Algeria,1999,153532,89.0,654.45,17.97,potatoes
Algeria,2000,166143,89.0,603.67,17.9,potatoes
Algeria,2001,147018,89.0,710.11,18.13,potatoes
Algeria,2002,183774,89.0,816.55,17.85,potatoes
Algeria,2004,203585,89.0,3747.86,17.38,potatoes
Algeria,2005,216267,89.0,3662.87,17.19,potatoes
Algeria,2006,220689,89.0,4110.72,18.13,potatoes
Algeria,2007,189927,89.0,5390.79,17.42,potatoes
Algeria,2008,236393,89.0,11556.12,17.55,potatoes
Algeria,2009,250764,89.0,3867.99,17.78,potatoes
Algeria,2010,270526,89.0,1295.88,17.59,potatoes
Algeria,2011,292806,89.0,13861.76,17.79,potatoes
Algeria,2012,304291,89.0,17379.76,17.91,potatoes
Algeria,2013,303218,89.0,17278.65,17.65,potatoes
Angola,1990,41177,1010.0,64.0,24.12,cassava
Angola,1990,40000,1010.0,64.0,24.12,potatoes
Angola,1990,89342,1010.0,64.0,24.12,sweet potatoes
Angola,1991,40295,1010.0,79.0,24.02,cassava
Angola,1991,40000,1010.0,79.0,24.02,potatoes
Angola,1991,83001,1010.0,79.0,24.02,sweet potatoes
